# timestamp tx ty tz qx qy qz qw
1783055808.900381 26.238924 15.175543 0.598865 -0.004383 0.230569 0.245714 0.941511
1783055809.000221 26.331663 15.168712 0.592515 -0.005734 0.229090 0.248483 0.941138
1783055809.100075 26.424757 15.159401 0.581439 -0.002687 0.227386 0.247884 0.941723
1783055809.200395 26.517994 15.147607 0.571934 -0.003169 0.225146 0.242371 0.943693
1783055809.300235 26.609678 15.133027 0.570452 0.001749 0.226285 0.244242 0.942941
1783055809.400075 26.697422 15.114153 0.572084 0.005453 0.225624 0.233083 0.945905
1783055809.500395 26.788397 15.093938 0.568831 0.010645 0.233891 0.225282 0.945743
1783055809.600235 26.876101 15.071252 0.561633 0.015798 0.236688 0.223405 0.945420
1783055809.700075 26.960905 15.048923 0.550860 0.014362 0.233056 0.226914 0.945510
1783055809.800395 27.046253 15.026911 0.543196 0.002788 0.226247 0.233504 0.945664
1783055809.900235 27.130997 15.004774 0.540219 -0.006420 0.227983 0.244019 0.942569
1783055810.000075 27.215561 14.980910 0.539882 -0.005871 0.230708 0.246487 0.941267
1783055810.100408 27.301880 14.958484 0.538485 -0.003024 0.242069 0.245933 0.938568
1783055810.200248 27.382929 14.937732 0.534661 -0.005119 0.243561 0.244633 0.938513
1783055810.300088 27.465042 14.917670 0.527023 -0.004019 0.242097 0.244171 0.939017
1783055810.400408 27.546242 14.899330 0.522076 -0.004116 0.230778 0.242281 0.942351
1783055810.500248 27.624182 14.879218 0.521543 -0.002953 0.221847 0.242756 0.944375
1783055810.600088 27.705217 14.860664 0.526370 -0.002996 0.226044 0.241537 0.943692
1783055810.700408 27.782566 14.844554 0.532127 -0.005672 0.229071 0.237856 0.943885
1783055810.800248 27.859804 14.825297 0.534118 0.000631 0.230851 0.240180 0.942879
1783055810.900088 27.938389 14.805588 0.530029 0.003257 0.231568 0.244430 0.941605
1783055811.000408 28.012798 14.786309 0.526494 -0.003357 0.224616 0.249785 0.941883
1783055811.100262 28.089928 14.767076 0.526945 -0.014806 0.225687 0.257110 0.939543
1783055811.200102 28.167213 14.747821 0.532926 -0.020772 0.228178 0.265952 0.936362
1783055811.300422 28.240887 14.728382 0.534132 -0.027534 0.229572 0.276218 0.932868
1783055811.400262 28.318911 14.712426 0.536276 -0.025115 0.240284 0.281948 0.928514
1783055811.500102 28.392031 14.694903 0.533035 -0.023368 0.234437 0.288429 0.928064
1783055811.600422 28.469049 14.678133 0.527155 -0.017796 0.229781 0.291849 0.928282
1783055811.700262 28.540262 14.663834 0.522348 -0.015094 0.215666 0.289197 0.932537
1783055811.800102 28.617254 14.648256 0.521836 -0.008389 0.219222 0.291434 0.931095
1783055811.900422 28.693624 14.637434 0.524487 -0.007858 0.227363 0.286719 0.930611
1783055812.000262 28.767521 14.625127 0.526889 0.000038 0.228857 0.287299 0.930099
1783055812.100115 28.843943 14.615821 0.526333 0.004489 0.228269 0.293177 0.928397
1783055812.200435 28.918749 14.609663 0.519419 0.002079 0.221748 0.302522 0.926986
1783055812.300275 28.995235 14.601849 0.513365 -0.002283 0.218968 0.309005 0.925507
1783055812.400115 29.074785 14.594488 0.513371 -0.006171 0.223857 0.307803 0.924720
1783055812.500435 29.148754 14.591154 0.516304 -0.010104 0.216114 0.306302 0.927023
1783055812.600275 29.228193 14.586970 0.516254 -0.010740 0.224420 0.303179 0.926068
1783055812.700115 29.304485 14.586437 0.513403 -0.012462 0.226132 0.299740 0.926750
1783055812.800435 29.383387 14.586274 0.507320 -0.011215 0.229012 0.295280 0.927490
1783055812.900275 29.464632 14.584689 0.499917 -0.010845 0.223851 0.291726 0.929876
1783055813.000115 29.544722 14.585620 0.495513 -0.014309 0.217268 0.286098 0.933134
1783055813.100449 29.625002 14.586376 0.494936 -0.015927 0.215901 0.284398 0.933944
1783055813.200289 29.707054 14.585198 0.497420 -0.015950 0.219627 0.277628 0.935111
1783055813.300129 29.790146 14.585567 0.501817 -0.012899 0.229847 0.268751 0.935295
1783055813.400449 29.870733 14.582735 0.500715 -0.006176 0.230904 0.265391 0.936062
1783055813.500289 29.953724 14.581415 0.496363 -0.005356 0.232099 0.264611 0.935993
1783055813.600129 30.036362 14.580187 0.491734 -0.011222 0.224272 0.269846 0.936354
1783055813.700449 30.115831 14.576637 0.489717 -0.016516 0.210705 0.284827 0.934989
1783055813.800289 30.199562 14.571685 0.490416 -0.020983 0.213329 0.299721 0.929633
1783055813.900129 30.281593 14.563498 0.492488 -0.018977 0.216853 0.304587 0.927276
1783055814.000449 30.363396 14.556232 0.491302 -0.015362 0.225864 0.301407 0.926231
